Plot_Name,Location_Type,Species_Richness,Total_Detections,Avg_Temperature,Avg_Humidity,Avg_Start_Hour,Avg_Duration,Watchlist_Rate,Flyover_Rate,Visits
ANTI-0007,Grassland,23,42,25.776190167381635,67.61190496172222,7.333333333333333,10.0,0.0,0.047619047619047616,3
ANTI-0008,Grassland,20,44,24.854545419866387,72.79090881347656,6.7272727272727275,10.0,0.0,0.06818181818181818,3
ANTI-0009,Grassland,25,47,23.255319027190524,77.14893665719539,6.659574468085107,10.0,0.0,0.0851063829787234,3
ANTI-0015,Grassland,22,57,24.603509401020272,66.20350887900905,6.649122807017544,10.0,0.0,0.2982456140350877,3
ANTI-0016,Grassland,24,58,26.55172459832556,63.19137829747696,7.689655172413793,10.0,0.0,0.08620689655172414,3
ANTI-0017,Grassland,21,47,24.340425531914892,72.54680941967254,6.76595744680851,10.0,0.0,0.06382978723404255,3
ANTI-0018,Grassland,22,42,21.423809868948812,80.28571537562779,6.761904761904762,10.0,0.023809523809523808,0.07142857142857142,3
ANTI-0025,Forest,12,22,24.93636339361019,67.33636266534978,6.090909090909091,10.0,0.0,0.13636363636363635,2
ANTI-0026,Grassland,22,38,24.47105272192706,73.32368469238281,6.5,10.0,0.0,0.05263157894736842,3
ANTI-0027,Grassland,17,47,22.65957487390399,76.30212824395362,6.531914893617022,10.0,0.0,0.06382978723404255,3
ANTI-0028,Grassland,24,53,21.439622447175775,75.02264130790279,6.320754716981132,10.0,0.0,0.03773584905660377,3
ANTI-0034,Grassland,25,53,29.556603161793845,57.592452858978845,8.358490566037736,10.0,0.0,0.07547169811320754,3
ANTI-0035,Grassland,15,36,25.66111172570122,65.29166730244954,7.722222222222222,10.0,0.0,0.19444444444444445,3
ANTI-0036,Forest,19,34,21.002940795000885,79.13529631670784,6.882352941176471,10.0,0.0,0.0,2
ANTI-0043,Grassland,14,17,27.6000003814697,59.9000015258789,9.0,10.0,0.0,0.0,1
ANTI-0044,Grassland,16,37,29.299999340160472,58.00810715958876,8.594594594594595,10.0,0.0,0.05405405405405406,3
ANTI-0045,Grassland,20,39,23.815384693634797,75.67435944386018,6.743589743589744,10.0,0.0,0.05128205128205128,3
ANTI-0052,Forest,18,29,24.300000420932136,60.47241447711813,6.793103448275862,10.0,0.034482758620689655,0.0,2
ANTI-0053,Grassland,18,37,27.62162234332111,60.62162059062236,7.648648648648648,10.0,0.0,0.13513513513513514,3
ANTI-0054,Grassland,12,14,20.0,79.0,5.0,10.0,0.0,0.0,1
ANTI-0063,Grassland,20,49,26.861224077185764,60.965305717624,7.775510204081633,10.0,0.0,0.0,3
ANTI-0066,Grassland,19,34,22.21470653309544,74.9382339926327,7.5588235294117645,10.0,0.0,0.08823529411764706,3
ANTI-0072,Forest,18,24,20.974999904632575,67.63750028610231,7.5,10.0,0.041666666666666664,0.0,2
ANTI-0074,Grassland,9,13,28.3692307105431,57.59230921818659,10.0,10.0,0.0,0.15384615384615385,3
ANTI-0075,Grassland,22,44,24.6772721897472,64.57272772355515,8.590909090909092,10.0,0.0,0.1590909090909091,3
ANTI-0076,Grassland,23,39,21.412820424789015,75.97435897435898,6.948717948717949,10.0,0.0,0.0,3
ANTI-0077,Grassland,25,48,20.70833319425583,75.89791790644327,7.1875,10.0,0.020833333333333332,0.041666666666666664,3
ANTI-0078,Forest,15,24,22.783333460489917,66.05000241597493,7.416666666666667,10.0,0.0,0.0,2
ANTI-0079,Grassland,22,47,21.15106355383039,74.66383053394074,7.48936170212766,10.0,0.02127659574468085,0.06382978723404255,3
ANTI-0082,Forest,15,21,22.371428353445836,71.15237935384116,5.523809523809524,10.0,0.0,0.0,2
ANTI-0087,Grassland,15,39,22.320512869419193,67.47692245092148,7.0,10.0,0.0,0.20512820512820512,3
ANTI-0088,Grassland,18,44,25.509090510281638,64.92272654446687,7.363636363636363,10.0,0.0,0.0,3
ANTI-0089,Grassland,20,45,21.57777777777778,67.56666581895617,6.866666666666666,10.0,0.0,0.06666666666666667,3
ANTI-0090,Grassland,19,36,23.102777587042926,76.68055364820694,7.361111111111111,10.0,0.0,0.05555555555555555,3
ANTI-0091,Grassland,23,44,19.690908995541673,76.61136575178665,7.2272727272727275,10.0,0.022727272727272728,0.022727272727272728,3
ANTI-0092,Forest,17,28,20.128571578434528,72.55000032697406,8.178571428571429,10.0,0.03571428571428571,0.03571428571428571,2
ANTI-0101,Grassland,16,36,21.54166682561242,71.41389041476779,7.333333333333333,10.0,0.0,0.08333333333333333,3
ANTI-0102,Grassland,16,34,23.7382354736328,66.17941373937269,7.4411764705882355,10.0,0.0,0.11764705882352941,3
ANTI-0103,Grassland,18,45,19.646666929456938,71.83555348714192,6.022222222222222,10.0,0.0,0.08888888888888889,3
ANTI-0104,Grassland,18,33,20.881818597966983,69.98181707208805,6.7272727272727275,10.0,0.0,0.09090909090909091,3
ANTI-0105,Grassland,27,55,21.960000402277178,81.02727300470525,6.945454545454545,10.0,0.0,0.09090909090909091,3
ANTI-0106,Grassland,16,33,22.07575763355603,73.92424126827356,6.96969696969697,10.0,0.0,0.030303030303030304,3
ANTI-0107,Grassland,19,40,21.675000190734874,80.58750057220459,7.4,10.0,0.0,0.05,3
ANTI-0108,Grassland,23,43,21.20930236993834,81.86976783220157,7.837209302325581,10.0,0.023255813953488372,0.0,3
ANTI-0113,Grassland,17,48,23.741667151451125,64.96874833106996,7.3125,14.583333333333334,0.0,0.22916666666666666,3
ANTI-0114,Grassland,18,40,24.51000041961671,58.65499973297119,7.55,10.0,0.0,0.025,3
ANTI-0115,Grassland,21,56,21.70357135363991,67.23392745426723,5.928571428571429,10.0,0.0,0.16071428571428573,3
ANTI-0116,Grassland,18,42,24.74761926560173,64.11428506033761,7.904761904761905,10.0,0.0,0.23809523809523808,3
ANTI-0117,Grassland,16,33,18.218181494510542,80.53636423746745,6.515151515151516,10.0,0.0,0.0,3
ANTI-0118,Grassland,16,38,23.51315784454346,77.40262884842723,7.315789473684211,10.0,0.0,0.10526315789473684,3
ANTI-0119,Grassland,20,38,21.339473573785074,85.61052563315944,7.684210526315789,10.0,0.02631578947368421,0.02631578947368421,3
ANTI-0124,Grassland,21,71,26.976056703379463,53.71690100011691,7.732394366197183,10.0,0.0,0.16901408450704225,3
ANTI-0125,Grassland,17,42,23.926190240042565,53.17380986894881,6.833333333333333,10.0,0.0,0.16666666666666666,3
ANTI-0126,Grassland,18,41,25.448779966773024,66.74878097162014,8.634146341463415,10.0,0.0,0.07317073170731707,3
ANTI-0127,Grassland,20,45,21.13333343929716,72.98222164577908,7.377777777777778,10.0,0.0,0.13333333333333333,3
ANTI-0128,Grassland,17,39,20.64102500524274,79.85897298959586,6.769230769230769,10.0,0.0,0.02564102564102564,3
ANTI-0133,Grassland,17,33,30.96363605152473,46.47272849805429,8.848484848484848,10.0,0.0,0.12121212121212122,3
ANTI-0134,Grassland,19,50,30.06399986267089,52.42200119018555,9.06,10.0,0.0,0.42,3
ANTI-0135,Grassland,22,42,26.073809215000676,63.13095183599565,7.404761904761905,10.0,0.0,0.047619047619047616,3
ANTI-0136,Grassland,19,42,26.204762050083726,71.1999987647647,8.095238095238095,10.0,0.0,0.19047619047619047,3
ANTI-0137,Grassland,17,43,23.588372008745065,64.31395473036655,6.767441860465116,10.0,0.0,0.023255813953488372,3
ANTI-0138,Grassland,18,36,21.988888634575755,75.14444245232478,6.555555555555555,10.0,0.0,0.0,3
ANTI-0140,Grassland,17,49,21.351019878776665,68.30816416837729,6.612244897959184,10.0,0.0,0.12244897959183673,3
ANTI-0141,Grassland,17,36,21.62500037087335,66.5722229215834,6.555555555555555,10.0,0.0,0.1111111111111111,3
ANTI-0142,Grassland,14,24,23.633332570393833,54.84166653951008,7.083333333333333,10.0,0.0,0.0,2
ANTI-0143,Grassland,22,42,25.42857092902774,68.16190456208727,6.880952380952381,10.0,0.0,0.11904761904761904,3
ANTI-0147,Grassland,17,41,23.75365857380192,67.38048655812335,6.414634146341464,10.0,0.0,0.2682926829268293,3
ANTI-0148,Grassland,11,32,22.296875059604613,67.90312600135803,5.0,10.0,0.0,0.0,3
ANTI-0149,Grassland,16,30,22.390000089009597,64.49666646321614,5.666666666666667,10.0,0.0,0.1,3
ANTI-0150,Grassland,14,33,22.53636389067677,63.881818019982525,7.0,10.0,0.0,0.0,3
ANTI-0151,Grassland,13,25,23.18400009155274,73.96399993896485,7.44,10.0,0.08,0.0,3
ANTI-0153,Grassland,22,50,24.966000099182114,73.58399978637694,6.68,10.0,0.0,0.04,3
ANTI-0154,Grassland,17,46,24.276087097499676,75.06739027603813,6.630434782608695,10.0,0.0,0.10869565217391304,3
ANTI-0155,Grassland,15,46,24.743478111598794,72.54782701575239,7.456521739130435,10.0,0.0,0.08695652173913043,3
ANTI-0156,Grassland,20,46,21.98043466650919,68.53478083403213,6.6521739130434785,10.0,0.0,0.10869565217391304,3
ANTI-0160,Grassland,25,48,24.633333484331757,74.89166545867921,6.75,10.0,0.0,0.14583333333333334,3
ANTI-0161,Grassland,23,55,25.35999974337489,75.96909096457742,7.072727272727272,10.0,0.0,0.16363636363636364,3
ANTI-0162,Grassland,22,41,23.46829205024531,80.2658548122499,7.414634146341464,10.0,0.0,0.04878048780487805,3
ANTI-0163,Grassland,23,60,23.739999930063895,77.46500027974447,7.366666666666666,10.0,0.0,0.06666666666666667,3
